questionAudioKey,collision,distinctVisibleQuestions,files
q_which_sense_see,false,Hangisiyle görürüz?,src\services\database\activities\basicConceptsData.ts
q_which_sense_hear,false,Hangisiyle duyarız?,src\services\database\activities\basicConceptsData.ts
q_which_sense_smell,false,Hangisiyle koku alırız?,src\services\database\activities\basicConceptsData.ts
q_which_sense_taste,false,Hangisiyle tat alırız?,src\services\database\activities\basicConceptsData.ts
q_which_sense_touch,false,Hangisiyle dokunuruz?,src\services\database\activities\basicConceptsData.ts
q_which_organ_smell_this,false,Bunu hangisiyle koklarız?,src\services\database\activities\basicConceptsData.ts
q_which_organ_hear_this,false,Bunu hangisiyle duyarız?,src\services\database\activities\basicConceptsData.ts
q_which_organ_taste_this,false,Bunu hangisiyle tadarız?,src\services\database\activities\basicConceptsData.ts
q_which_organ_touch_this,false,Bunu hangisiyle hissederiz?,src\services\database\activities\basicConceptsData.ts
q_which_organ_see_this,false,Bunu hangisiyle görürüz?,src\services\database\activities\basicConceptsData.ts
q_which_smells_good,false,Hangisi genellikle güzel kokar?,src\services\database\activities\basicConceptsData.ts
q_which_makes_sound,false,Hangisi ses çıkarır?,src\services\database\activities\basicConceptsData.ts
q_which_helps_see_better,false,Daha iyi görmek için hangisini kullanırız?,src\services\database\activities\basicConceptsData.ts
q_which_can_hurt_touch,false,Hangisine dokunmak canımızı acıtabilir?,src\services\database\activities\basicConceptsData.ts
q_which_is_sour,true,"Ekşi olan hangisi? | Hangisinin tadı genellikle ekşidir?","src\services\database\activities\basicConceptsData.ts | src\services\database\activities\qualities\bitterSweetData.ts"
q_which_is_cat,false,Which one is the cat?,src\services\database\activities\objects\enAnimalsData.ts
q_which_is_dog,false,Which one is the dog?,src\services\database\activities\objects\enAnimalsData.ts
q_which_is_lion,false,Which one is the lion?,src\services\database\activities\objects\enAnimalsData.ts
q_which_is_elephant,false,Which one is the elephant?,src\services\database\activities\objects\enAnimalsData.ts
q_which_is_fish,false,Which one is the fish?,src\services\database\activities\objects\enAnimalsData.ts
