category,subcategory,text,short_description,note
Temel İhtiyaçlar,Meyveler,Elma,Elma - kırmızı tatlı meyve,food
Temel İhtiyaçlar,Meyveler,Muz,Muz - sarı, yumuşak meyve,food
Temel İhtiyaçlar,Meyveler,Portakal,Portakal - narenciye,vitamin C sağlar,food
Temel İhtiyaçlar,Meyveler,Üzüm,Üzüm - küçük salkım meyve,food
Temel İhtiyaçlar,Meyveler,Çilek,Çilek - küçük kırmızı meyve,food
Temel İhtiyaçlar,Meyveler,Karpuz,Karpuz - büyük, su oranı yüksek meyve,food
Temel İhtiyaçlar,Meyveler,Armut,Armut - tatlı meyve,food
Temel İhtiyaçlar,Meyveler,Kiraz,Kiraz - küçük kırmızı meyve,food
Temel İhtiyaçlar,Meyveler,Mandalina,Mandalina - küçük narenciye,food
Temel İhtiyaçlar,Meyveler,Kavun,Kavun - tatlı yaz meyvesi,food
Temel İhtiyaçlar,Meyveler,Ananas,Ananas - tropikal meyve,food
Temel İhtiyaçlar,Meyveler,Kivi,Kivi - küçük tüylü meyve,food
Temel İhtiyaçlar,Meyveler,Nar,Nar - tohumlu narenciye,food
Temel İhtiyaçlar,Sebzeler,Domates,Domates - sebze/meyve olarak kullanılır,food
Temel İhtiyaçlar,Sebzeler,Salatalık,Salatalık - su oranı yüksek sebze,food
Temel İhtiyaçlar,Sebzeler,Havuç,Havuç - turuncu kök sebze,food
Temel İhtiyaçlar,Sebzeler,Patates,Patates - nişastalı sebze,food
Temel İhtiyaçlar,Sebzeler,Soğan,Soğan - yemeklerde kullanılan sebze,food
Temel İhtiyaçlar,Sebzeler,Yeşil Biber,Yeşil biber - sebze,food
Temel İhtiyaçlar,Sebzeler,Lahana,Lahana - yapraklı sebze,food
Temel İhtiyaçlar,Sebzeler,ıspanak,Ispanak - yeşil yapraklı sebze,food
Temel İhtiyaçlar,Sebzeler,Kabak,Kabak - sebze,food
Temel İhtiyaçlar,Sebzeler,Brokoli,Brokoli - çiçek yapılı sebze,food
Temel İhtiyaçlar,Sebzeler,Patlıcan,Patlıcan - mor kabuklu sebze,food
Temel İhtiyaçlar,Sebzeler,Marul,Marul - salata yaprakları,food
Temel İhtiyaçlar,Sebzeler,Mısır,Mısır - tane sebze,food
Temel İhtiyaçlar,Ana Yemekler,Pilav,Pilav - pirinç bazlı ana yemek,food
Temel İhtiyaçlar,Ana Yemekler,Makarna,Makarna - un bazlı ana yemek,food
Temel İhtiyaçlar,Ana Yemekler,Köfte,Köfte - etli yemek,food
Temel İhtiyaçlar,Ana Yemekler,Tavuk,Tavuk - pişmiş et çeşidi,food
Temel İhtiyaçlar,Ana Yemekler,Balık,Balık - deniz ürünü,food
Temel İhtiyaçlar,Ana Yemekler,Çorba,Çorba - sıvı yemek,food
Temel İhtiyaçlar,Ana Yemekler,Pizza,Pizza - hamur üstü malzeme,food
