key,issue,langValue,enValue,trValue
didYouFind,same-as-en,"Tapdınız?","Tapdınız?","Tapdınız?"
howMany,same-as-en,"Neçə dənə var?","Neçə dənə var?","Neçə dənə var?"
isItAlive,same-as-en,"Bu canlıdır?","Bu canlıdır?","Bu canlıdır?"
isItBroken,same-as-en,"Bu qırılıb?","Bu qırılıb?","Bu qırılıb?"
isItClean,same-as-en,"Bu təmizdir?","Bu təmizdir?","Bu təmizdir?"
isItClosed,same-as-en,"Bu bağlıdır?","Bu bağlıdır?","Bu bağlıdır?"
isItCold,same-as-en,"Bu soyuq?","Bu soyuq?","Bu soyuq?"
isItDead,same-as-en,"Bu ölüdür?","Bu ölüdür?","Bu ölüdür?"
isItDirty,same-as-en,"Bu çirkli?","Bu çirkli?","Bu çirkli?"
isItDry,same-as-en,"Bu quru?","Bu quru?","Bu quru?"
isItEmpty,same-as-en,"Bu boşdur?","Bu boşdur?","Bu boşdur?"
isItFixed,same-as-en,"Bu düzəldilib?","Bu düzəldilib?","Bu düzəldilib?"
isItFull,same-as-en,"Bu doludur?","Bu doludur?","Bu doludur?"
isItHeavy,same-as-en,"Bu ağırdır?","Bu ağırdır?","Bu ağırdır?"
isItHot,same-as-en,"Bu isti?","Bu isti?","Bu isti?"
isItLight,same-as-en,"Bu yüngüldür?","Bu yüngüldür?","Bu yüngüldür?"
isItLong,same-as-en,"Bu uzundur?","Bu uzundur?","Bu uzundur?"
isItOpen,same-as-en,"Bu açıqdır?","Bu açıqdır?","Bu açıqdır?"
isItRound,same-as-en,"Bu dairəvidir?","Bu dairəvidir?","Bu dairəvidir?"
isItShort,same-as-en,"Bu qısadır?","Bu qısadır?","Bu qısadır?"
isItSquare,same-as-en,"Bu kvadratdır?","Bu kvadratdır?","Bu kvadratdır?"
isItThick,same-as-en,"Bu qalındır?","Bu qalındır?","Bu qalındır?"
isItThin,same-as-en,"Bu incədir?","Bu incədir?","Bu incədir?"
isItWet,same-as-en,"Bu yaşdır?","Bu yaşdır?","Bu yaşdır?"
q_does_this_have_sound,same-as-tr,"Bu ses çıkarır mı?","Does this make a sound?","Bu ses çıkarır mı?"
q_how_baby_feels,same-as-tr,"Bebek nasıl hissediyor?","How does the baby feel?","Bebek nasıl hissediyor?"
q_how_child_feels,same-as-tr,"Çocuk nasıl hissediyor?","How does the child feel?","Çocuk nasıl hissediyor?"
q_how_clean_room,same-as-tr,"Oda nasıl temizlenir?","How do we clean a room?","Oda nasıl temizlenir?"
q_how_comb_hair,same-as-tr,"Saç nasıl taranır?","How do we comb our hair?","Saç nasıl taranır?"
q_how_cook_food,same-as-tr,"Yemek nasıl pişirilir?","How do we cook food?","Yemek nasıl pişirilir?"
q_how_cut_paper,same-as-tr,"Kağıt nasıl kesilir?","How do we cut paper?","Kağıt nasıl kesilir?"
q_how_dry_hands_after_washing,same-as-tr,"Yıkandıktan sonra eller nasıl kurulanır?","How do we dry our hands after washing them?","Yıkandıktan sonra eller nasıl kurulanır?"
q_how_eat_pasta,same-as-tr,"Makarna nasıl yenir?","How do we eat pasta?","Makarna nasıl yenir?"
q_how_go_to_school,same-as-tr,"Okula nasıl gideriz?","How do we go to school?","Okula nasıl gideriz?"
q_how_light_a_dark_room,same-as-tr,"Karanlık bir oda nasıl aydınlatılır?","How do we light a dark room?","Karanlık bir oda nasıl aydınlatılır?"
q_how_measure_height,same-as-tr,"Boy nasıl ölçülür?","How do we measure height?","Boy nasıl ölçülür?"
q_how_open_door,same-as-tr,"Kapıyı nasıl açarız?","How do we open a door?","Kapıyı nasıl açarız?"
q_how_rabbit_moves,same-as-tr,"Tavşan nasıl hareket eder?","How does a rabbit move?","Tavşan nasıl hareket eder?"
q_how_reach_high_place,same-as-tr,"Yüksek bir yere nasıl ulaşılır?","How do we reach a high place?","Yüksek bir yere nasıl ulaşılır?"
q_how_talk_to_someone_far_away,same-as-tr,"Uzakta biriyle nasıl konuşulur?","How do we talk to someone who is far away?","Uzakta biriyle nasıl konuşulur?"
q_how_travel_at_sea,same-as-tr,"Denizde nasıl seyahat edilir?","How do we travel at sea?","Denizde nasıl seyahat edilir?"
q_put_apple_right_of_basket,same-as-tr,"Elmayı sepetin sağına koy.","Put the apple to the right of the basket.","Elmayı sepetin sağına koy."
q_put_ball_in_box,same-as-tr,"Topu kutunun içine koy.","Put the ball inside the box.","Topu kutunun içine koy."
q_put_book_on_table,same-as-tr,"Kitabı masanın üstüne koy.","Put the book on the table.","Kitabı masanın üstüne koy."
q_put_car_left_of_house,same-as-tr,"Arabayı evin soluna koy.","Put the car to the left of the house.","Arabayı evin soluna koy."
q_put_shoe_under_bed,same-as-tr,"Ayakkabıyı yatağın altına koy.","Put the shoe under the bed.","Ayakkabıyı yatağın altına koy."
q_what_after_socks,same-as-tr,"Çoraptan sonra ne giyeriz?","What do we wear after socks?","Çoraptan sonra ne giyeriz?"
q_what_babies_drink_milk_with,same-as-tr,"Bebekler sütü ne ile içer?","What do babies drink milk from?","Bebekler sütü ne ile içer?"
q_what_brush_teeth_with,same-as-tr,"Dişlerimizi ne ile fırçalarız?","What do we brush our teeth with?","Dişlerimizi ne ile fırçalarız?"
q_what_burn_to_get_warm,same-as-tr,"Isınmak için ne yakılır?","What do we burn to get warm?","Isınmak için ne yakılır?"
q_what_chickens_give_us_for_breakfast,same-as-tr,"Tavuklar kahvaltıda bize ne verir?","What do chickens give us for breakfast?","Tavuklar kahvaltıda bize ne verir?"
q_what_color_picture_with,same-as-tr,"Resmi ne ile boyarız?","What do we color a picture with?","Resmi ne ile boyarız?"
q_what_drink_water_with,same-as-tr,"Suyu ne ile içeriz?","What do we drink water with?","Suyu ne ile içeriz?"
q_what_dry_after_bath,same-as-tr,"Banyodan sonra ne ile kurulanırız?","What do we use to dry off after a bath?","Banyodan sonra ne ile kurulanırız?"
q_what_eat_pasta_with,same-as-tr,"Makarnayı ne ile yeriz?","What do we eat pasta with?","Makarnayı ne ile yeriz?"
q_what_eat_soup_with,same-as-tr,"Çorbayı ne ile içeriz?","What do we eat soup with?","Çorbayı ne ile içeriz?"
q_what_erase_with,same-as-tr,"Ne ile sileriz?","What do we erase with?","Ne ile sileriz?"
q_what_hammer_nail_with,same-as-tr,"Çiviyi ne ile çakarız?","What do we hammer a nail with?","Çiviyi ne ile çakarız?"
q_what_is_crispy_snack_made_of_potatoes,same-as-tr,"Patatesten yapılan çıtır atıştırmalık nedir?","What is the crispy snack made of potatoes?","Patatesten yapılan çıtır atıştırmalık nedir?"
