locale,key,master,existing
az,accessibility.autoSpeakOff,"Otomatik seslendirmeyi kapat","[AZ-TRANSLATION-NEEDED]"
az,accessibility.autoSpeakOn,"Otomatik seslendirmeyi aç","[AZ-TRANSLATION-NEEDED]"
az,achievements.categories.concept,"Kavramları Öğrenelim","[AZ-TRANSLATION-NEEDED]"
az,achievements.categories.letterSound,"Harf ve Sesler","[AZ-TRANSLATION-NEEDED]"
az,achievements.categories.objects,"Nesneleri Tanıyalım","[AZ-TRANSLATION-NEEDED]"
az,achievements.categories.reasoning,"Akıl Oyunları","[AZ-TRANSLATION-NEEDED]"
az,achievements.completed,"Tamamlandı","[AZ-TRANSLATION-NEEDED]"
az,achievements.subtitle,"Bir etkinliği 3 kez hatasız tamamlayarak rozetini kazan!","[AZ-TRANSLATION-NEEDED]"
az,achievements.title,"Başarımlar","[AZ-TRANSLATION-NEEDED]"
az,achievements.viewReportAria,"Gelişim Raporunu Görüntüle","[AZ-TRANSLATION-NEEDED]"
az,activityMgmt.concepts,"Kavram Etkinlikleri","[AZ-TRANSLATION-NEEDED]"
az,activityMgmt.enableAll,"Tümünü Etkinleştir","[AZ-TRANSLATION-NEEDED]"
az,activityMgmt.enableAllHelp,"Bu kategorideki tüm etkinlikleri aç/kapat","[AZ-TRANSLATION-NEEDED]"
az,activityMgmt.fineMotor,"İnce Motor Beceriler","[AZ-TRANSLATION-NEEDED]"
az,activityMgmt.lineTracing,"Çizgi Takip","[AZ-TRANSLATION-NEEDED]"
az,activityMgmt.objects,"Nesneleri Tanıyalım","[AZ-TRANSLATION-NEEDED]"
az,activityMgmt.reasoning,"Akıl Oyunları","[AZ-TRANSLATION-NEEDED]"
az,activityMgmt.rhythmFollowing,"Ritim Takip","[AZ-TRANSLATION-NEEDED]"
az,activityMgmt.shapeColoring,"Şekil Boyama","[AZ-TRANSLATION-NEEDED]"
az,activityMgmt.title,"Etkinlik Yönetimi","[AZ-TRANSLATION-NEEDED]"
az,app.activityLoadError,"Etkinlik yüklenirken bir hata oluştu.","[AZ-TRANSLATION-NEEDED]"
az,app.activityRestarting,"Etkinlik yeniden başlatılıyor...","[AZ-TRANSLATION-NEEDED]"
az,app.developing,"Geliştiriliyor","[AZ-TRANSLATION-NEEDED]"
az,app.noActivitySelected,"Etkinlik seçimi bulunamadı.","[AZ-TRANSLATION-NEEDED]"
az,app.noContentForActivity,"Bu etkinlik için içerik bulunamadı.","[AZ-TRANSLATION-NEEDED]"
az,app.noMoreImagesForActivity,"Bu etkinlik için gösterilecek başka görsel kalmadı.","[AZ-TRANSLATION-NEEDED]"
